ID,GoogleMapsID,Name,Types,Address,Phone Number,International Phone Number,Opening hours,Website,Operational,Rating,Total Reviewers,Reviews,Wheelchair Accessible,Latitude,Longitude
0,ChIJo_O3_cQSVBMRfzZp3ll_Xfg,Bord Life,"['food', 'point_of_interest', 'establishment']","1106, Skopje 1000, Skopje",070 331 114,+389 70 331 114,"['Monday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u200910:00\u202fPM']",,OPERATIONAL,4.9,18,"[{'review_author': 'Simon K.', 'rating': '5', 'text': 'Nice little family-winery near Skopje. They produce just small quantity but very good quality and tasty wine (try their Vranec!) for reasonable prices. Really friendly family, thank you for the spontaneous tasting yesterday!!', 'relative_time_description': '4 years ago'}, {'review_author': 'HOSSAM DOO Skopje, Macedonia', 'rating': '5', 'text': 'Good wine', 'relative_time_description': '2 weeks ago'}, {'review_author': 'Aleksandar Ivanov', 'rating': '5', 'text': ""Excellent choice, wine that's beyond words."", 'relative_time_description': '3 years ago'}, {'review_author': 'Kieleek', 'rating': '5', 'text': 'We highly recommend it. We have been guests of the winery twice and were not disappointed. First class wine 😀', 'relative_time_description': '3 years ago'}, {'review_author': 'Miroslav Geroski', 'rating': '4', 'text': 'Very good', 'relative_time_description': '3 years ago'}]",True,42.0586418,21.3176565
1,ChIJX4itd88_VBMRCLmXem76yWo,Winery „Kamnik“,"['tourist_attraction', 'bar', 'point_of_interest', 'food', 'establishment']",Kamnik bb Skopje MK,02 252 1789,+389 2 252 1789,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20094:00\u202fPM']",http://www.chateaukamnik.com/,OPERATIONAL,4.8,158,"[{'review_author': 'Nathan Whalley', 'rating': '5', 'text': 'One of the most pleasant experiences I have had at a winery,  personal experience, great hospitality from our guide, very handy information,  brings a good smile to the enjoyment of tasting.  Highly recommended,  I brought 4 bottles today as I found their wine to be unique and a step above the rest. I hope to see plenty online or overseas in the future.', 'relative_time_description': '2 months ago'}, {'review_author': 'Cristi', 'rating': '4', 'text': 'We booked very easily with e-mail, very responsive. The place is conveniently located near Skopje, important winery. The location has multiple attractions for staying and spending time. We had a short tour with explanations on wine making process. Then we had the actual tasting of 5 wines, according to what we chose. The wines were good and nice presentation. We felt hurried to move on wine by wine on the tasting part which was the single negative point, everything took 45 minutes, but overall a good experience. Price was somewhere mid, depending on wine selection, but no appetizers included. By the way, some neutralizer is required, maybe bread only or crackers.', 'relative_time_description': '5 months ago'}, {'review_author': 'Olha Kalinina', 'rating': '5', 'text': 'Amazing experience at wine tasting! Jane (our guide) was very knowledgeable and hospitable. Great wines!\nHighly recommended.\n\nP.S. make sure you book your tour in advance as weekends and evenings are not easily available.  We book ours almost 3 weeks ahead', 'relative_time_description': '6 months ago'}, {'review_author': 'Evalt Domi', 'rating': '5', 'text': 'Nice experience, as winemaker the winetasting was explained great. Going back again for new edition of wine.', 'relative_time_description': '3 months ago'}, {'review_author': 'Andrej Petkovic', 'rating': '5', 'text': 'Top expirence. Somelier Jane with extraordinary presentation of great wines.', 'relative_time_description': 'in the last week'}]",True,42.0077514,21.4902808
2,ChIJM9rxECQTVBMRt9VHpU1PX5A,Winery Kuvin,"['point_of_interest', 'food', 'establishment']","Makedonska Prerodba бр.70, Skopje",075 233 340,+389 75 233 340,[],http://www.winerykuvin.com/,OPERATIONAL,5.0,10,"[{'review_author': 'Z.M. Todorovski', 'rating': '5', 'text': ""Interesting small family run winery in Skopje's suburban G.Petrov. Great hospitality and customer service."", 'relative_time_description': '3 years ago'}, {'review_author': 'Ljupco Sazdovski Planinec', 'rating': '5', 'text': 'Very good place, the wines are really  great and the host Ivica is the master of the wines. I recommend', 'relative_time_description': '2 years ago'}, {'review_author': 'Saso Mojsovski', 'rating': '5', 'text': ""Very good butik winery, exselent food, good hosts, warm ambiance, MILO The Best, don't miss this place to find out more about wine"", 'relative_time_description': '4 years ago'}, {'review_author': 'Ivica Stevkovski', 'rating': '5', 'text': '', 'relative_time_description': '4 years ago'}, {'review_author': 'pance pancevski', 'rating': '5', 'text': '', 'relative_time_description': '2 years ago'}]",True,42.00948349999999,21.351241
3,ChIJo_O3_cQSVBMRfzZp3ll_Xfg,Bord Life,"['point_of_interest', 'food', 'establishment']","1106, Skopje 1000, Skopje",070 331 114,+389 70 331 114,"['Monday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u200910:00\u202fPM']",,OPERATIONAL,4.9,18,"[{'review_author': 'Simon K.', 'rating': '5', 'text': 'Nice little family-winery near Skopje. They produce just small quantity but very good quality and tasty wine (try their Vranec!) for reasonable prices. Really friendly family, thank you for the spontaneous tasting yesterday!!', 'relative_time_description': '4 years ago'}, {'review_author': 'HOSSAM DOO Skopje, Macedonia', 'rating': '5', 'text': 'Good wine', 'relative_time_description': '2 weeks ago'}, {'review_author': 'Aleksandar Ivanov', 'rating': '5', 'text': ""Excellent choice, wine that's beyond words."", 'relative_time_description': '3 years ago'}, {'review_author': 'Kieleek', 'rating': '5', 'text': 'We highly recommend it. We have been guests of the winery twice and were not disappointed. First class wine 😀', 'relative_time_description': '3 years ago'}, {'review_author': 'Miroslav Geroski', 'rating': '4', 'text': 'Very good', 'relative_time_description': '3 years ago'}]",True,42.0586418,21.3176565
4,ChIJL2QhlP89VBMRsCVZ9OPqf1E,Winery „Kartal“,"['liquor_store', 'tourist_attraction', 'point_of_interest', 'store', 'food', 'establishment']",ul.1519 br.7 Skopje MK,070 242 419,+389 70 242 419,"['Monday: 12:00\u2009–\u20094:00\u202fPM', 'Tuesday: 12:00\u2009–\u20094:00\u202fPM', 'Wednesday: 12:00\u2009–\u20094:00\u202fPM', 'Thursday: 12:00\u2009–\u20094:00\u202fPM', 'Friday: 12:00\u2009–\u20094:00\u202fPM', 'Saturday: 12:00\u2009–\u20094:00\u202fPM', 'Sunday: Closed']",http://www.kartal.com.mk/,OPERATIONAL,4.9,53,"[{'review_author': 'Matthijs Flamand', 'rating': '5', 'text': 'Incredible experience. Jordan is a kind and gracious host and very knowledgeable on all things wine. He gave an amazing tour through the wine processing facility and explained all the steps in detail. We learned so much from the experience. The wine tasting afterwards was just as good, if not better. Not only were the wines delicious, but Jordan explained each wine in terms of flavour and pairings, also in relation the the available charcuterie and cheeses (which were superb). I cannot recommend this place highly enough. Must visit if you are in Skopje!', 'relative_time_description': '2 months ago'}, {'review_author': 'I S', 'rating': '5', 'text': 'Great family owned winery in Skopje! They offer excellent wine selection paired with great food and a super informative tour all throughout. The hosts Jordan and Filip were wonderful and super helpful as well!', 'relative_time_description': 'a month ago'}, {'review_author': 'Szilvi Ónodi', 'rating': '5', 'text': 'This winery is a must if you like wine. The hosts are very friendly and passionate winemakers. They gave a tour around the winery and explained the wine-making process in details. We tasted 6 kinds of wine and they were all delicious, high quality ones. It was very interesting to taste the balkan specific grape varieties.', 'relative_time_description': '5 months ago'}, {'review_author': 'Charlotte Jansson', 'rating': '5', 'text': 'Very nice wine tasting experience! Personal information and service from Jordan and his brother. Well spent couple of ours were we learned a lot about the process of making wine. Also very good wines. We can definitely recommend this place if you are interested in wines.', 'relative_time_description': '5 months ago'}, {'review_author': 'Stefanie Kienzle', 'rating': '5', 'text': 'We had a awsome wine tasting with a lot of information about wine, winemaking, Makedonia and the entire region. We tasted two white, one rose and three red wines accompanied with bread, local cheese, salami, bacon, nuts, dried fruits, crackers, strawberry and olive oil.\nThe owners are nice and super helpful with all Kindstod of information.\nI highly recomend to visit the winery!', 'relative_time_description': '5 months ago'}]",True,41.96243399999999,21.4763996
5,ChIJ81Roz8kVVBMRcEw7I8AKE3s,Filovski Winery,"['point_of_interest', 'food', 'establishment']","23, 11th October St. 1/1, Skopje",02 313 3394,+389 2 313 3394,[],,OPERATIONAL,0.0,0,[],,41.9922146,21.4342922
6,ChIJ0WHcqXRUVBMRrYo4cQ_7sHM,Kupenica Winery,"['point_of_interest', 'food', 'establishment']","6Q5P+X83, Nikuljane",,,[],,OPERATIONAL,4.0,7,"[{'review_author': 'Nenad Jankovic', 'rating': '5', 'text': 'Great place, huge frontyard, nice pool ,quiet and secluded by all the pines around. House was also spacious with spacious 4 bedrooms.', 'relative_time_description': '3 years ago'}, {'review_author': 'Borislav NT', 'rating': '5', 'text': '', 'relative_time_description': '5 years ago'}, {'review_author': 'Dragan Petrusevic', 'rating': '5', 'text': '', 'relative_time_description': '5 years ago'}, {'review_author': 'Cristy Bretan', 'rating': '2', 'text': '', 'relative_time_description': '2 years ago'}, {'review_author': 'Annabella Krstevska', 'rating': '5', 'text': '', 'relative_time_description': '3 years ago'}]",,42.20989580000001,21.7857068
7,ChIJy5GBJzgUVBMRDv7ltyZOnjo,Vardar Winery & Wines,"['point_of_interest', 'food', 'establishment']","Vasil Gjorgov, Skopje",043 370 287,+389 43 370 287,[],,OPERATIONAL,0.0,0,[],,41.9929627,21.4158512
8,ChIJkcpVFnBOVBMRqOr9Irl7bes,Winery & Hotel „Kokino“,"['lodging', 'point_of_interest', 'food', 'establishment']","Kozjacka 15, Kumanovo",070 236 562,+389 70 236 562,"['Monday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200912:00\u202fPM']",https://kokino-wineryhotel.business.site/,OPERATIONAL,4.8,139,"[{'review_author': 'Rozalija Obajdin', 'rating': '4', 'text': 'Great place to stay if you are passing by Kumanovo. This was a perfect spot to make a night stop while travelling to Greece.\n\nThey had a baby cot and staff is wonderful.', 'relative_time_description': '6 months ago'}, {'review_author': 'Jelena JJ', 'rating': '4', 'text': ""Very nice & clean accomodation, but expected more and smth different (there is no impression that you're staying in a winery, but in an ordinary, though very coasy, hotel)"", 'relative_time_description': '4 months ago'}, {'review_author': 'Anastasia', 'rating': '5', 'text': 'Good place, really clean and comfortable. Recommend for family’s with children', 'relative_time_description': 'a month ago'}, {'review_author': 'Florina Ioana', 'rating': '5', 'text': 'It is perfectly clean and great stop if you need to sleep on your way. Great wine and nice stay on the terrace. Owner is very nice and welcoming.', 'relative_time_description': '4 years ago'}, {'review_author': 'Ben Nykiel', 'rating': '5', 'text': 'Hidden jewel\nReally really nice place\nClean\nSuper people\nWe stay till 12 pm talking live drinking best wine\nGot some to go 🍻😜\nWe left some stuff behind\nOwner pick them up and met us by boarder\nWow!!\nThere are still good people\nU can find them here', 'relative_time_description': '2 years ago'}]",,42.1159721,21.7482767
9,ChIJf2CeXLUVVBMRQNmmC1Xtiy8,Vardar Winery & Wines,"['point_of_interest', 'food', 'establishment']","Dame Gruev, Skopje",043 371 416,+389 43 371 416,[],,OPERATIONAL,0.0,0,[],,41.9946606,21.4280648
